"absolute src","font-bold","font-medium","font-medium 2","font-medium 3","flex","flex 2","flex 3","list-inside","font-semibold","font-semibold 2","font-semibold 3","text-tiers-gold-500","text-tiers-diamond-500","font-semibold 4","list-inside 2","font-semibold 5","font-semibold 7","text-tiers-gold-500 2","text-tiers-diamond-500 2","font-semibold 8","grid","text-lg","font-semibold 10","font-semibold 11","grid 2","text-lg 2","font-semibold 14","grid 3","text-lg 3","grid 4","text-lg 4","font-semibold 17","grid 5","text-lg 5","font-semibold 20","grid 6","text-lg 6","font-semibold 23","grid 7","text-lg 7","font-semibold 26","font-semibold 27","grid 8","text-lg 8","font-semibold 30","grid 9","text-lg 9","grid 10","text-lg 10","font-semibold 34","grid 11","text-lg 11","font-semibold 38","grid 12","text-lg 12","font-semibold 41","h-full src","list-inside 3","text-blue-600","text-blue-600 href","flex 4","text-tiers-silver-500","font-semibold 42","font-semibold 43","text-tiers-bronze-500","list-inside 4","font-semibold 44"
"https://howbazaar-images.b-cdn.net/images/items/0efe7d3f-4f18-4667-89a3-ac915a93a9f5.avif","28 Hour Fitness","Gold+","Pygmalien","Large","DamageReference","Property","ShieldReference","When you use a , your  items gain   for the fight.","Weapon","Shield","»","+20","+30","Shield","When you use a  item, your  gain   for the fight.","Shield","»","+20","+30","Damage","Your  and  items have +50% .","Deadly","Shield","Crit Chance","When you use a  or a  item,  3.","Fiery","Burn","This has double value.","Golden","When you use a  or a  item,  an item for 1 second(s).","Heavy","Slow","When you use a  or a  item,  an item for 0.5 second(s).","Icy","Freeze","When you use a  or a  item, deal 30 .","Obsidian","Damage","Your  and  items are affected by  and  for half as long.","Radiant","Freeze","Slow","When you use a  or a  item,  30.","Restorative","Heal","When you use a  or a  item,  30.","Shielded","This has double  and  bonus.","Shiny","Damage","When you use a  or a  item,  3.","Toxic","Poison","When you use a  or a  item,  an item for 1 second(s).","Turbo","Haste","","","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/723880db-8a97-4833-a9a1-80c75cde4c17.avif","3D Printer","Gold+","Dooley","Large","Tech","Tool","","Cooldown  seconds","","","»","5","4","","Transform into 3 copies of the Small, non-Legendary item to the left of this for the fight","","","","","","...and Enchant the transformations with Deadly if able.","Deadly","","","...and Enchant the transformations with Fiery if able.","Fiery","","...and Enchant the transformations with Golden if able.","Golden","...and Enchant the transformations with Heavy if able.","Heavy","","...and Enchant the transformations with Icy if able.","Icy","","...and Enchant the transformations with Obsidian if able.","Obsidian","","...and Enchant the transformations with Radiant if able.","Radiant","","","...and Enchant the transformations with Restorative if able.","Restorative","","...and Enchant the transformations with Shielded if able.","Shielded","...and Enchant the transformations with Shiny if able.","Shiny","","...and Enchant the transformations with Toxic if able.","Toxic","","...and Enchant the transformations with Turbo if able.","Turbo","","","","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/a05d23cb-af36-42fa-aab1-568aba7f30c6.avif","Abacus","Gold+","Pygmalien","Small","Economy","Tool","","Cooldown 4 seconds","","","»","+15","+30","","Adjacent items gain value equal to this item's value for the fight","","","","","","Adjacent items have +30% .","Deadly","Shield","Crit Chance","equal to half this item's value","Fiery","Burn","This has double value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal  equal to double this item's value","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to double this item's value","Restorative","Heal","equal to double this item's value","Shielded","This has +1 Multicast.","Shiny","","equal to half this item's value","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/a05d23cb-af36-42fa-aab1-568aba7f30c6.avif","This has  value in combat.","","","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/f7fede6f-1b60-47f4-b4bb-bca041d498dd.avif","Admiral's Badge","Legendary","Common","Small","Apparel","FlyingReference","Slow","When you use a  or Flying item,  an item on each Player's board for 1 second(s).","Vehicle","","","","","Slow","Your Flying items are affected by  and  for half as long.","Slow","","","","","Your  and Flying items have +30% .","Deadly","Shield","Crit Chance","When you use a  or Flying item,  1.","Fiery","Burn","This has double value.","Golden","This  for twice as long.","Heavy","Slows","When you use a  or Flying item,  an item for 0.5 second(s).","Icy","Freeze","When you use a  or Flying item, deal 10 .","Obsidian","Damage","Your items are affected by  and  for half as long.","Radiant","Freeze","Slow","When you use a  or Flying item,  10.","Restorative","Heal","When you use a  or Flying item,  10.","Shielded","This  for twice as long.","Shiny","","When you use a  or Flying item,  1.","Toxic","Poison","When you use a  or Flying item,  an item for 1 second(s).","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/f7fede6f-1b60-47f4-b4bb-bca041d498dd.avif","","Cloudtop Admiral","https://www.howbazaar.gg/monsters#Cloudtop_Admiral","","","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/388a396e-39b3-4b04-a5f8-4ec1733b485c.avif","Adrenal Converter","Silver+","Mak","Medium","Apparel","Haste","Poison","Cooldown 6 seconds","","Poison","»   »","10","15","Poison","both Players","Poison","»   »","16","24","","This has +50% .","Deadly","Shield","Crit Chance","When you  yourself,  equal to this item's .","Fiery","Burn","This has double value.","Golden","When you  yourself,  an item for 1 second(s).","Heavy","Slow","When you  yourself,  an item for 0.5 second(s).","Icy","Freeze","When you  yourself, deal  equal to 5 times this item's .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","When you  yourself,  equal to 5 times this item's","Restorative","Regen","When you  yourself,  equal to 5 times this item's .","Shielded","This has +1 Multicast.","Shiny","","This has double .","Toxic","Poison","This  for twice as long.","Turbo","Hastes","https://howbazaar-images.b-cdn.net/images/items/388a396e-39b3-4b04-a5f8-4ec1733b485c.avif","When you  yourself, gain   for the fight and  an item for 1 second(s).","","","Regen","5","Regen","Regen","","",""
"https://howbazaar-images.b-cdn.net/images/items/c984adcc-6a42-4b0b-a964-fd64fd2fdaa7.avif","Aerial Turret","Bronze+","Stelle","Medium","Damage","FlyingReference","Tech","Cooldown 7 seconds","","","»   »   »","35","45","","Deal","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","an item for 1 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","an item for 1 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/c984adcc-6a42-4b0b-a964-fd64fd2fdaa7.avif","Reduce this item's Cooldown by 1 second for the fight","","","Weapon","25","Damage","Damage","15","While this is Flying, this has +1 Multicast.","Damage"
"https://howbazaar-images.b-cdn.net/images/items/f98213d6-2c40-45a7-ac35-f5eca615d9cd.avif","Agility Boots","Bronze+","Common","Small","Apparel","Crit","","Adjacent items have  .","Crit Chance","","»   »   »","+9%","+12%","","When you sell this, your items gain  .","","»   »   »","+3%","+4%","Crit Chance","","Shiny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://howbazaar-images.b-cdn.net/images/items/f98213d6-2c40-45a7-ac35-f5eca615d9cd.avif","","","","","+6%","","","+3%","",""
"https://howbazaar-images.b-cdn.net/images/items/0591d8b4-2632-4c41-9f73-48896237256d.avif","Air-Pressure Rifle","Bronze+","Stelle","Medium","Ammo","Damage","FlyingReference","Cooldown 7 seconds","","","»   »   »","75","100","","1","","","","","Damage","This has +50% .","Deadly","Shield","Crit Chance","equal to 5% of this item's","Fiery","Burn","This has double value.","Golden","2 items for 4 second(s)","Heavy","Slow","2 items for 1 second(s)","Icy","Freeze","This has double .","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","equal to this item's","Restorative","Heal","equal to this item's","Shielded","This has +1 Multicast.","Shiny","Damage","equal to 5% of this item's","Toxic","Poison","2 items for 4 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/0591d8b4-2632-4c41-9f73-48896237256d.avif","Deal 50","Cloudtop Officer","https://www.howbazaar.gg/monsters#Cloudtop_Officer","Weapon","50","Damage","Damage","25","When your items start Flying, this gains   for the fight.","Damage"
"https://howbazaar-images.b-cdn.net/images/items/004cb876-1ed2-4a4b-88d4-475cea76a03d.avif","Airplane Glue","Silver+","Stelle","Small","DamageReference","Flying","ShieldReference","Cooldown 5 seconds","","Shield","»   »","+30","+40","","Adjacent items stop Flying","","»   »","+30","+40","Damage","When your items stop Flying, your items gain +10  for the fight.","Deadly","Shield","Crit Chance","4","Fiery","Burn","This has double value.","Golden","an item for 2 second(s)","Heavy","Slow","an item for 0.5 second(s)","Icy","Freeze","Deal 40","Obsidian","Damage","This item is immune to ,  and Destroy.","Radiant","Freeze","Slow","40","Restorative","Heal","40","Shielded","This has double  and  bonus.","Shiny","Damage","4","Toxic","Poison","an item for 2 second(s)","Turbo","Haste","https://howbazaar-images.b-cdn.net/images/items/004cb876-1ed2-4a4b-88d4-475cea76a03d.avif","When one of your items stops Flying, it gains   and   for the fight.","","","Tool","+20","","","","",""
"https://howbazaar-images.b-cdn.net/images/items/b6b210e5-0e56-4c82-9165-7f526dd5c9ea.avif","Alembic","Silver+","Mak","Medium","PotionReference","Tool","","At the start of each day, get a Catalyst and transform the Small item to the left of this into a .","Potion","","","","","","When you buy this, get a Small .","","","","","","If the item is not Enchanted, Enchant it with Deadly if able.","Deadly","","","If the item is not Enchanted, Enchant it with Fiery if able.","Fiery","","This has double value.","Golden","If the item is not Enchanted, Enchant it with Heavy if able.","Heavy","","If the item is not Enchanted, Enchant it with Icy if able.","Icy","","If the item is not Enchanted, Enchant it with Obsidian if able.","Obsidian","","If the item is not Enchanted, Enchant it with Radiant if able.","Radiant","","","If the item is not Enchanted, Enchant it with Restorative if able.","Restorative","","If the item is not Enchanted, Enchant it with Shielded if able.","Shielded","If the item is not Enchanted, Enchant it with Shiny if able.","Shiny","","If the item is not Enchanted, Enchant it with Toxic if able.","Toxic","","If the item is not Enchanted, Enchant it with Turbo if able.","Turbo","","https://howbazaar-images.b-cdn.net/images/items/b6b210e5-0e56-4c82-9165-7f526dd5c9ea.avif","","","","","","","","","",""
